Category Name,Category Code,Subcategory Name,Variable Name,Variable Code,Geography,Units
Food Assistance,ASSISTANCE,WIC,"WIC redemptions/WIC-authorized stores (% change), 2011-16",PCH_REDEMP_WICS_11_16,CNTY10,% change
Food Assistance,ASSISTANCE,WIC,"WIC participants (% pop), 2012*",PCT_WIC12,CNTY10,Percent
Food Assistance,ASSISTANCE,WIC,"WIC participants (% pop), 2017*",PCT_WIC17,CNTY10,Percent
Food Assistance,ASSISTANCE,WIC,"WIC participants (change % pop), 2012-17*",PCH_WIC_12_17,CNTY10,Percentage points
Food Assistance,ASSISTANCE,WIC,"WIC infant and children participants (% infant & children), 2014*",PCT_WICINFANTCHILD14,CNTY10,Percent
Food Assistance,ASSISTANCE,WIC,"WIC infant and children participants (% infant & children), 2016*",PCT_WICINFANTCHILD16,CNTY10,Percent
Food Assistance,ASSISTANCE,WIC,"WIC infant and children participants (change % infant & children), 2014-16*",PCH_WICINFANTCHILD_14_16,CNTY10,Percentage points
Food Assistance,ASSISTANCE,WIC,"WIC women participants (% women), 2014*",PCT_WICWOMEN14,CNTY10,Percent
Food Assistance,ASSISTANCE,WIC,"WIC women participants (% women), 2016*",PCT_WICWOMEN16,CNTY10,Percent
Food Assistance,ASSISTANCE,WIC,"WIC women participants (change % women), 2014-16*",PCH_WICWOMEN_14_16,CNTY10,Percentage points
Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (% pop), 2012*",PCT_CACFP12,CNTY10,Percent
Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (% pop), 2017*",PCT_CACFP17,CNTY10,Percent
Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (change % pop), 2012-17*",PCH_CACFP_12_17,CNTY10,Percentage points
Food Assistance,ASSISTANCE,FDPIR,"FDPIR Sites, 2012",FDPIR12,CNTY10,Count
Food Assistance,ASSISTANCE,FDPIR,"FDPIR Sites, 2015",FDPIR15,CNTY10,Count
Food Assistance,ASSISTANCE,FDPIR,"FDPIR Sites, 2012-15",PCH_FDPIR_12_15,CNTY10,Count
Food Assistance,ASSISTANCE,Non-USDA,"Food Banks, 2018",FOOD_BANKS18,CNTY10,Count
Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (%, three-year average), 2012-14*",FOODINSEC_12_14,CNTY10,Percent
Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (%, three-year average), 2015-17*",FOODINSEC_15_17,CNTY10,Percent
Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (change %),2012-14 to 2015-17*",CH_FOODINSEC_14_17,CNTY10,Percentage points
Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (%, three-year average), 2012-14*",VLFOODSEC_12_14,CNTY10,Percent
Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (%, three-year average), 2015-17*",VLFOODSEC_15_17,CNTY10,Percent
Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (change %), 2012-14 to 2015-17*",CH_VLFOODSEC_14_17,CNTY10,Percentage points
Food Taxes,PRICES_TAXES,Sales Tax,"Soda sales tax, retail stores, 2014*",SODATAX_STORES14,CNTY10,Percent
Food Taxes,PRICES_TAXES,Sales Tax,"Soda sales tax, vending, 2014*",SODATAX_VENDM14,CNTY10,Percent
Food Taxes,PRICES_TAXES,Sales Tax,"Chip & pretzel sales tax, retail stores, 2014*",CHIPSTAX_STORES14,CNTY10,Percent
Food Taxes,PRICES_TAXES,Sales Tax,"Chip & pretzel sales tax, vending, 2014*",CHIPSTAX_VENDM14,CNTY10,Percent
Food Taxes,PRICES_TAXES,Sales Tax,"General food sales tax, retail stores, 2014*",FOOD_TAX14,CNTY10,Percent
Local Foods,LOCAL,Direct Sales,"Farms with direct sales, 2007",DIRSALES_FARMS07,CNTY10,Count
Local Foods,LOCAL,Direct Sales,"Farms with direct sales, 2012",DIRSALES_FARMS12,CNTY10,Count
Local Foods,LOCAL,Direct Sales,"Farms with direct sales (% change), 2007 - 12",PCH_DIRSALES_FARMS_07_12,CNTY10,% change
Local Foods,LOCAL,Direct Sales,"Farms with direct sales (%), 2007",PCT_LOCLFARM07,CNTY10,Percent
Local Foods,LOCAL,Direct Sales,"Farms with direct sales (%), 2012",PCT_LOCLFARM12,CNTY10,Percent
Local Foods,LOCAL,Direct Sales,"Direct farm sales (%), 2007",PCT_LOCLSALE07,CNTY10,Percent
Local Foods,LOCAL,Direct Sales,"Direct farm sales (%), 2012",PCT_LOCLSALE12,CNTY10,Percent
Local Foods,LOCAL,Direct Sales,"Direct farm sales, 2007",DIRSALES07,CNTY10,"1,000 dollars"
Local Foods,LOCAL,Direct Sales,"Direct farm sales, 2012",DIRSALES12,CNTY10,"1,000 dollars"
Local Foods,LOCAL,Direct Sales,"Direct farm sales (% change), 2007 - 12",PCH_DIRSALES_07_12,CNTY10,% change
Local Foods,LOCAL,Direct Sales,"Direct farm sales per capita, 2007",PC_DIRSALES07,CNTY10,Dollars
Local Foods,LOCAL,Direct Sales,"Direct farm sales per capita, 2012",PC_DIRSALES12,CNTY10,Dollars
Local Foods,LOCAL,Direct Sales,"Direct farm sales per capita (% change), 2007 - 12",PCH_PC_DIRSALES_07_12,CNTY10,% change
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets, 2013",FMRKT13,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets, 2018",FMRKT18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets (% change), 2013-18",PCH_FMRKT_13_18,CNTY10,% change
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets/1,000 pop, 2013",FMRKTPTH13,CNTY10,"# per 1,000 pop"
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets/1,000 pop, 2018",FMRKTPTH18,CNTY10,"# per 1,000 pop"
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets/1,000 pop (% change), 2013-18",PCH_FMRKTPTH_13_18,CNTY10,% change
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SNAP, 2018",FMRKT_SNAP18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SNAP (%), 2018",PCT_FMRKT_SNAP18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC, 2018",FMRKT_WIC18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC (%), 2018",PCT_FMRKT_WIC18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC Cash, 2018",FMRKT_WICCASH18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC Cash (%), 2018",PCT_FMRKT_WICCASH18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SFMNP, 2018",FMRKT_SFMNP18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SFMNP (%), 2018",PCT_FMRKT_SFMNP18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting credit cards, 2018",FMRKT_CREDIT18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting credit cards (%), 2018",PCT_FMRKT_CREDIT18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling fruit & vegetables, 2018",FMRKT_FRVEG18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling fruit & vegetables (%), 2018",PCT_FMRKT_FRVEG18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling animal products, 2018",FMRKT_ANMLPROD18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling animal products (%), 2018",PCT_FMRKT_ANMLPROD18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling baked/prepared food products, 2018",FMRKT_BAKED18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling baked/prepared food products (%), 2018",PCT_FMRKT_BAKED18,CNTY10,Percent
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling other food products, 2018",FMRKT_OTHERFOOD18,CNTY10,Count
Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling other food products (%), 2018",PCT_FMRKT_OTHERFOOD18,CNTY10,Percent
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable farms, 2007",VEG_FARMS07,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable farms, 2012",VEG_FARMS12,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable farms (% change), 2007 - 12",PCH_VEG_FARMS_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested, 2007",VEG_ACRES07,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested, 2012",VEG_ACRES12,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested (% change), 2007 - 12",PCH_VEG_ACRES_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested/1,000 pop, 2007",VEG_ACRESPTH07,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested/1,000 pop, 2012",VEG_ACRESPTH12,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested/1,000 pop (% change), 2007 - 12",PCH_VEG_ACRESPTH_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Farms with vegetables harvested for fresh market, 2007",FRESHVEG_FARMS07,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Farms with vegetables harvested for fresh market, 2012",FRESHVEG_FARMS12,CNTY10,Count
Local Foods,LOCAL,Farms & Crop Acreage,"Farms with vegetables harvested for fresh market (% change), 2007 - 12",PCH_FRESHVEG_FARMS_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested for fresh market, 2007",FRESHVEG_ACRES07,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested for fresh market, 2012",FRESHVEG_ACRES12,CNTY10,Acres
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested for fresh market (% change), 2007 - 12",PCH_FRESHVEG_ACRES_07_12,CNTY10,% change
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested for fresh market/1,000 pop, 2007",FRESHVEG_ACRESPTH07,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested for fresh market/1,000 pop, 2012",FRESHVEG_ACRESPTH12,CNTY10,"Acres/1,000 pop"
Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested for fresh market/1,000 pop (% change), 2007 - 12",PCH_FRESHVEG_ACRESPTH_07_12,CNTY10,% change
